ID;Nom usuel
1028001;Baneins
1033002;Bellegarde
1034001;Belley Man
1037001;Benonces
1072001;Ceyzeriat_sapc
1089001;Amberieu
1128001;Courtes
1204001;Lalleyriat
1224002;Loyettes
1235001;Marlieux Man
1235002;Marlieux
1255002;Montagnieu
1350001;Saint Etienne Du Bois
1367002;Saint Julien Sur Reyssouze
1384001;Saint Rambert En Bugey
1441001;Vieu
1453001;Virieu-le-petit
2031001;Aubenton
2037002;Aulnois-ss-laon
2094001;Blesmes
2110002;Braine
2173002;Chauny
2199001;Clastres
2220001;Coulonges-cohan
2298001;Etreux
2301002;Faucoucourt
2320001;St Quentin
2321001;Fontaine-vv Man
2321002;Fontaine-les-vv
2346001;Gizy
2408002;Laon
2471001;Martigny-courpi
2505001;Montfaucon
2580001;Oulchy-le-chate
2594001;Passy En Valois
2617001;Pouilly-sur-serre
2705001;La Selve
2722002;Soissons
2758001;Vailly-sur-aisn
3005001;Archignat
3006003;Arfeuilles
3036002;Bourbon_sapc
3043001;Brout-vernet
3046001;Buxieres
3059001;Chareil-cintrat_sapc
3060001;Vichy-charmeil
3061001;Charmes_sapc
3066003;Chatel-montagne
3073001;Chemilly
3100001;Diou
3106002;Durdat-larequille
3108001;Echassieres_sapc
3114001;Ferte-hauterive
3127001;Herisson
3149002;Louchy-montfand
3155001;Lurcy-levis
3155003;Lurcy-levis Sa
3159001;Malicorne
3165001;Mayet-de-montag
3168001;Meaulne
3180001;Montbeugny
3186001;Montmarault
3200001;Neuvy
3204001;Paray-sous-briailles
3226001;Saint Didier_sapc
3240001;St-leon
3248001;St-nicolas
3253001;St-pourcain-bes
3285001;Tortezais_sapc
3310001;Vichy-ville
3321001;Yzeure
4019001;Barcelonnette
4027002;Bevons
4039001;Castellane
4049001;St Auban
4088001;Forcalquier
4096002;Jausiers-st Anne
4172001;Roumoules
4193002;St Paul
4205004;Seyne-col Maure
4209005;Sisteron
4230001;Valensole
5007001;Arvieux La Chalp
5023001;Briancon
5026001;Ceillac
5046001;Embrun
5055001;La Faurie
5064001;Chapelle-en-valgaudemar
5070003;Laragne Monteglin
5079001;Le Monetier Les Bains
5085001;Montgenevre
5093001;Nevache
5098001;Les Orres
5101001;Pelvoux
5118002;Ribiers-grange
5132001;St-bonnet Champsaur
5139002;St Etienne-en-devoluy
5142001;St Firmin
5157001;St Veran
5182001;Villar Loubiere
5184002;Vitrolles
6004002;Antibes-garoupe
6004009;Antibes
6005001;Ascros
6015001;Berre-des-alpes
6029001;Cannes
6037002;Caussols
6057001;L Escarene
6071001;Guillaumes-obs
6077006;Peira Cava
6079002;Mandelieu La Napoule
6084002;Mouans Sartoux
6086001;Moulinet
6088001;Nice
6090001;Pegomas-tanneron
6091003;Peille
6106002;Roquesteron
6121001;Cap Ferrat
6127001;St-martin-de-vesubie-obs
6127003;St Martin Vesubie
6152002;Valbonne-sophia
6163007;Tende_sapc
7005001;Alba La Romaine
7005002;Alba Sa
7010001;Annonay
7011004;Antraigues Sa
7019005;Aubenas Sa
7025001;Barnas Rad
7032003;Berzeme Sa
7042001;Bourg St Andeol
7064001;Cheylard Sa
7066001;Chomerac Sa_rce
7068001;Colombier Jeune Rad
7069001;Colombier Vieux Sa
7075001;Cros Georand
7101001;Grospierres
7101002;Grospierres Sa
7105001;Issanlas
7110001;Joyeuse
7117001;Lablachere Drome
7117002;Lablachere
7128001;Lalouvesc
7131001;Lanas Syn
7144001;Loubaresse
7161001;Montpezat Sa
7168001;Orgnac Aven
7185001;Preaux Sa
7192001;Rochepaule Sa
7202002;Sablieres Oara
7204005;St-agreve
7228001;St-desirat Sa
7230002;Escrinet Sa
7261001;St-laurent Pape
7265001;St-marcel Annonay
7294001;St-sauveur Sa
7330004;Vallon Sa
7331001;Vals-les-bains
7334003;Les Vans Sa
7338001;Vernoux
7338005;Vernoux Sa
8105003;Montcy-st-pier
8105005;Charleville-mez
8116001;Le Chesne
8207001;Ham-sur-meuse
8239001;Juniville
8255001;Linay
8354001;Raucourt - Man
8362002;Rethel - Man
8363001;Revin
8367002;Rocroi
8419001;Signy-l'abbaye
8490001;Vouziers
9023002;Ascou Lavail
9027001;Augirein
9029001;Aulus-les-bains
9042003;La Bastide De S
9071001;Cadarcet
9079001;Carla Bayle
9094001;Cerizols
9181003;Le Mas D Azil
9206001;Montferrier
9206002;Mont D'olmes
9225004;Pamiers Lycagri
9250001;Les Cascades
9277001;St-ybars
9289001;St Girons
9290004;Eylie D'en Haut
9301001;Soulan
9306001;Tarascon Sur Ar
9334004;Vicdessos
10002001;Ailleville_sapc
10030001;Troyes-barberey
10057001;Bouy-sur-orvin
10075001;Champfleury
10099002;Chessy-les-pres_sapc
10119001;Cunfin_sapc
10130001;Dosnon
10202001;Loges-margueron
10223001;Marcilly-le-hay
10228002;Mathaux-etape
10238001;Mesnil-st-pere
10255002;Montreuil
10317001;Les-riceys
10323001;Romilly
10350001;St-mards
10360001;St-pouange
10372001;Soulaines
10429001;Villette-sur-au
11004001;Alaigne
11012001;Argeliers
11016003;Arquettes-en-val
11028001;Belcaire
11049001;Bram
11069001;Carcassonne
11075001;Castans
11076001;Castelnaudary
11081003;Caunes-minervois
11115001;Cuxac-cabardes
11124003;Durban-corbieres
11140001;Ferrals-les-corbieres
11144001;Fitou
11168001;Granes
11170001;Gruissan-inra
11185001;Lagrasse
11198001;Laure-minervois
11203004;Lezignan-corbieres
11206003;Limoux
11221004;Les Martys
11243001;Montferrand
11260002;Mouthoumet
11262005;Narbonne
11295001;Portel-des-corbieres
11352001;St Louis-et-parahou
11367001;Saissac
11404001;Ventenac-cabardes
12014001;Aurelle-verlac_sapc
12021001;Bastide Eveque
12023001;Bastide Solages
12024001;Belcastel
12025002;Belmont Limou
12026002;Bertholene
12036001;Brommat
12051001;Cantoin
12063003;Millau-larzac_sapc
12068001;Colombies
12089002;Decazeville
12094002;Entraygues Sur
12102001;Flavin
12119001;Laguiole
12145001;Millau
12148001;Montbazens
12150001;Monteils
12154002;Montlaur-privat
12194001;Quins
12197002;Requista Combec
12208001;St Affrique
12253001;Salles Curan
12254001;Rodez-aveyron
12300003;Villefranch Ifip
12301001;Villeneuve
13001006;Aix-les Milles
13001009;Aix En Provence
13004003;Arles
13005003;Aubagne
13022003;Cassis
13028001;Bec De L Aigle
13035002;Eyguieres
13036003;Eyragues
13037001;La Fare Les Oliviers
13047001;Istres
13050001;Lambesc
13053002;Mallemort
13054001;Marignane
13055001;Marseille-obs
13055025;Marseille
13062002;Mimet
13077001;Port-de-bouc-sj
13080001;Le-puy-ste-repa
13085001;Roquefort-la-bedoule
13091001;St Cannat
13097002;St-martin-crau
13100002;St-remy-de-provence
13103001;Salon De Provence
13108004;Tarascon
13110003;Trets
13111002;Vauvenargues
14020002;Argences
14055002;Beaumont En A.
14137001;Caen-carpiquet
14216001;Damblainville
14239001;Englesqueville
14291002;Fresney Le Vieu
14296001;Legast_sapc
14366002;Lisieux_sapc
14372001;Livry
14431002;Mezidon-canon
14501002;Pierrefitte Cin_sapc
14515001;Port En Bessin
14578001;St Gatien Des B
14579002;Saint Georges D
14584001;Saint Germain D
14624001;L Oudon Lieury_sapc
14634001;Saint Michel De
14659001;St Sylvain_sapc
14665001;Sallenelles
14727001;Vaubadon
15014004;Aurillac
15050001;Le Claux
15053001;Coltines
15060001;Deux-verg
15067001;Le Fau
15114002;Marcenat
15118002;Marmanhac
15119001;Massiac
15120001;Mauriac-moulin
15120005;Mauriac
15122002;Maurs
15168001;Ruynes - Gendar
15168003;Ruynes
15169001;Saignes
15181001;St Constant
15187006;St Flour
15219001;Salers
15231001;Talizat
15248001;Valuejols
16025003;Baignes Bel Air
16052001;Bors
16061003;Brie
16089001;Cognac
16113001;La Couronne
16171001;Juillac-le-coq
16211002;Marthon
16225001;Montemboeuf
16226001;Montignac
16256001;Passirac
16259002;La Peruse
16279001;Rioux Martin
16280001;Rivieres
16283002;Ronsenac
16292001;Ruffec
16297001;Graves-saint-amant
16318001;St Front
16346001;St Quentin De C
16360001;Salles De Barb
16363001;Saulgond_sapc
16366001;Segonzac_sapc
16390001;Tusson
16397001;Verdille
16403001;Le Vieux Cerier_sapc
17004001;Ile-d Aix
17050001;Bois
17053001;Bords
17093002;Chateau D'oleron
17121001;Couarde Sur Mer
17218001;Marans
17224001;Matha
17236001;Mirambeau
17243002;Montlieu_sapc
17268002;Nuaille Sur Boutonne
17300001;La Rochelle
17300009;La Rochelle-ile De Re
17306004;Royan-medis
17308001;St Agnant
17323001;Chassiron
17339002;St Germain De Lusignan
17353001;St-laurent Pree-inra
17415003;Saintes
17418001;Salignac
17421001;Saujon
17434002;Surgeres
17477001;Villiers_sapc
18015003;Aubigny-sur-nere
18033001;Bourges
18039001;Bue
18057003;Chateaumeillant
18059001;Le Chatelet
18066002;Civray
18087001;Dun
18087003;Dun-sur-auron
18090001;Etrechy
18092001;Avord
18103001;Gracay
18109002;Henrichemont
18125004;Lere
18127001;Lignieres
18135001;Maisonnais
18137001;Mareuil
18159001;Nancay
18165001;Neuvy-sur-bar.
18172001;Orval
18175001;Ourouer-les-b.
18175003;Ourouer
18187004;Preveranges
18190001;Quincy
18197004;St-amand-mtrond
18223003;St-martin-d'a.
18241002;Sancerre
18242001;Sancoins
18251001;Sevry
